215	2020/10/15 19:52:47	22	22.0175	22
216	2020/10/15 19:52:48	22	22.0181	22	
217	2020/10/15 19:52:49	22	22.0182	22	
218	2020/10/15 19:52:50	22	22.0183	22	
219	2020/10/15 19:52:51	22	22.0168	22	
220	2020/10/15 19:52:52	22	22.0163	22	
221	2020/10/15 19:52:53	22	22.0164	22	
222	2020/10/15 19:52:54	22	22.0158	22	
223	2020/10/15 19:52:55	22	22.0157	22	
224	2020/10/15 19:52:56	22	22.0148	22	
225	2020/10/15 19:52:57	22	22.0139	22	
226	2020/10/15 19:52:58	22	22.0109	22	
227	2020/10/15 19:52:59	22	22.0084	22	
228	2020/10/15 19:53:00	22	22.0085	22	
229	2020/10/15 19:53:01	22	22.0078	22	
230	2020/10/15 19:53:02	22	22.0062	22	
231	2020/10/15 19:53:03	22	22.0038	22	
232	2020/10/15 19:53:04	22	22.004	22	
233	2020/10/15 19:53:05	22	22.0039	22	
234	2020/10/15 19:53:06	22	22.0043	22	
235	2020/10/15 19:53:07	22	22.0053	22	
236	2020/10/15 19:53:08	22	22.0061	22	
237	2020/10/15 19:53:09	22	22.0075	22	
238	2020/10/15 19:53:10	22	22.0084	22	
239	2020/10/15 19:53:11	22	22.0072	22	
240	2020/10/15 19:53:12	22	22.0055	22	
241	2020/10/15 19:53:13	22	22.0057	22	
242	2020/10/15 19:53:14	22	22.0063	22	
243	2020/10/15 19:53:15	22	22.0063	22	
244	2020/10/15 19:53:16	22	22.0061	22	
245	2020/10/15 19:53:17	22	22.0054	22	
246	2020/10/15 19:53:18	22	22.0061	22	
247	2020/10/15 19:53:19	22	22.0071	22	
248	2020/10/15 19:53:20	22	22.008	22	
249	2020/10/15 19:53:21	22	22.0079	22	
250	2020/10/15 19:53:22	22	22.0078	22	
251	2020/10/15 19:53:23	22	22.0072	22	
252	2020/10/15 19:53:24	22	22.0077	22	
253	2020/10/15 19:53:25	22	22.0071	22	
254	2020/10/15 19:53:26	22	22.0068	22	
255	2020/10/15 19:53:27	22	22.0067	22	
256	2020/10/15 19:53:28	22	22.0069	22	
257	2020/10/15 19:53:29	22	22.007	22	
258	2020/10/15 19:53:30	22	22.0058	22	
259	2020/10/15 19:53:31	22	22.0053	22	
260	2020/10/15 19:53:32	22	22.0048	22	
261	2020/10/15 19:53:33	22	22.0039	22	
262	2020/10/15 19:53:34	22	22.0036	22	
263	2020/10/15 19:53:35	22	22.0026	22	
264	2020/10/15 19:53:36	22	22.0023	22	
265	2020/10/15 19:53:37	22	22.0016	22	
266	2020/10/15 19:53:38	22	22.0007	22	
267	2020/10/15 19:53:39	22	22	22	
268	2020/10/15 19:53:40	22	21.9972	22	
269	2020/10/15 19:53:41	22	21.9964	22	
270	2020/10/15 19:53:42	22	21.995	22	
271	2020/10/15 19:53:43	22	21.9929	22	
272	2020/10/15 19:53:44	22	21.9936	22	
273	2020/10/15 19:53:45	22	21.9928	22	
274	2020/10/15 19:53:46	22	21.9927	22	
275	2020/10/15 19:53:47	22	21.9923	22	
276	2020/10/15 19:53:48	22	21.9936	22	
277	2020/10/15 19:53:49	22	21.9935	22	
278	2020/10/15 19:53:50	22	21.9947	22	
279	2020/10/15 19:53:51	22	21.9955	22	
280	2020/10/15 19:53:52	22	21.9957	22	
281	2020/10/15 19:53:53	22	21.996	22	
282	2020/10/15 19:53:54	22	21.9966	22	
283	2020/10/15 19:53:55	22	21.9967	22	
284	2020/10/15 19:53:56	22	21.9963	22	
285	2020/10/15 19:53:57	22	21.9966	22	
286	2020/10/15 19:53:58	22	21.9962	22	
287	2020/10/15 19:53:59	22	21.9966	22	
288	2020/10/15 19:54:00	22	21.9967	22	
289	2020/10/15 19:54:01	22	21.9971	22	
290	2020/10/15 19:54:02	22	21.997	22	
291	2020/10/15 19:54:03	22	21.9944	22	
292	2020/10/15 19:54:04	22	21.9915	22	
293	2020/10/15 19:54:05	22	21.9905	22	
294	2020/10/15 19:54:06	22	21.9887	22	
295	2020/10/15 19:54:07	22	21.9893	22	
296	2020/10/15 19:54:09	22	21.9907	22	
297	2020/10/15 19:54:10	22	21.9905	22	
298	2020/10/15 19:54:11	22	21.99	22	
299	2020/10/15 19:54:12	22	21.9902	22	
300	2020/10/15 19:54:13	22	21.99	22	
301	2020/10/15 19:54:14	22	21.9902	22	
302	2020/10/15 19:54:15	22	21.9911	22	
303	2020/10/15 19:54:16	22	21.9912	22	
304	2020/10/15 19:54:17	22	21.9916	22	
305	2020/10/15 19:54:18	22	21.9916	22	
306	2020/10/15 19:54:19	22	21.9914	22	
307	2020/10/15 19:54:20	22	21.9886	22	
308	2020/10/15 19:54:21	22	21.9868	22	
309	2020/10/15 19:54:22	22	21.9863	22	
310	2020/10/15 19:54:23	22	21.9871	22	
311	2020/10/15 19:54:24	22	21.9868	22	
312	2020/10/15 19:54:25	22	21.987	22	
313	2020/10/15 19:54:26	22	21.9877	22	
314	2020/10/15 19:54:27	22	21.9881	22	
315	2020/10/15 19:54:28	22	21.9893	22	
316	2020/10/15 19:54:29	22	21.9898	22	
317	2020/10/15 19:54:30	22	21.9917	22	
318	2020/10/15 19:54:31	22	21.9923	22	
319	2020/10/15 19:54:32	22	21.9925	22	
320	2020/10/15 19:54:33	22	21.9928	22	
321	2020/10/15 19:54:34	22	21.9928	22	
322	2020/10/15 19:54:35	22	21.9909	22	
323	2020/10/15 19:54:36	22	21.9877	22	
324	2020/10/15 19:54:37	22	21.9876	22	
325	2020/10/15 19:54:38	22	21.9875	22	
326	2020/10/15 19:54:39	22	21.9883	22	
327	2020/10/15 19:54:40	22	21.9881	22	
328	2020/10/15 19:54:41	22	21.9878	22	
329	2020/10/15 19:54:42	22	21.9878	22	
330	2020/10/15 19:54:43	22	21.9893	22	
331	2020/10/15 19:54:44	22	21.9882	22	
332	2020/10/15 19:54:45	22	21.988	22	
333	2020/10/15 19:54:46	22	21.9895	22	
334	2020/10/15 19:54:47	22	21.9907	22	
335	2020/10/15 19:54:48	22	21.9926	22	
336	2020/10/15 19:54:49	22	21.9936	22	
337	2020/10/15 19:54:50	22	21.9944	22	
338	2020/10/15 19:54:51	22	21.9955	22	
339	2020/10/15 19:54:52	22	21.9968	22	
340	2020/10/15 19:54:53	22	21.9974	22	
341	2020/10/15 19:54:54	22	21.998	22	
342	2020/10/15 19:54:55	22	21.9985	22	
343	2020/10/15 19:54:56	22	21.9991	22	
344	2020/10/15 19:54:57	22	22.0007	22	
345	2020/10/15 19:54:58	22	22.001	22	
346	2020/10/15 19:54:59	22	22.0023	22	
347	2020/10/15 19:55:00	22	22.0018	22	
348	2020/10/15 19:55:01	22	22.0017	22	
349	2020/10/15 19:55:02	22	22.003	22	
350	2020/10/15 19:55:03	22	22.0028	22	
351	2020/10/15 19:55:04	22	22.0025	22	
352	2020/10/15 19:55:05	22	22.0026	22	
353	2020/10/15 19:55:06	22	22.0032	22	
354	2020/10/15 19:55:07	22	22.0037	22	
355	2020/10/15 19:55:08	22	22.0051	22	
356	2020/10/15 19:55:09	22	22.0061	22	
357	2020/10/15 19:55:10	22	22.0064	22	
358	2020/10/15 19:55:11	22	22.0083	22	
359	2020/10/15 19:55:12	22	22.0087	22	
360	2020/10/15 19:55:13	22	22.0092	22	
361	2020/10/15 19:55:14	22	22.01	22	
362	2020/10/15 19:55:15	22	22.0112	22	
363	2020/10/15 19:55:16	22	22.0123	22	
364	2020/10/15 19:55:17	22	22.0138	22	
365	2020/10/15 19:55:18	22	22.0144	22	
366	2020/10/15 19:55:19	22	22.0138	22	
367	2020/10/15 19:55:20	22	22.0134	22	
368	2020/10/15 19:55:21	22	22.0132	22	
369	2020/10/15 19:55:22	22	22.013	22	
370	2020/10/15 19:55:23	22	22.0113	22	
371	2020/10/15 19:55:24	22	22.0094	22	
372	2020/10/15 19:55:25	22	22.0099	22	
373	2020/10/15 19:55:26	22	22.0099	22	
374	2020/10/15 19:55:27	22	22.0095	22	
375	2020/10/15 19:55:28	22	22.0104	22	
376	2020/10/15 19:55:29	22	22.0101	22	
377	2020/10/15 19:55:30	22	22.01	22	
378	2020/10/15 19:55:31	22	22.0099	22	
379	2020/10/15 19:55:32	22	22.0095	22	
380	2020/10/15 19:55:33	22	22.009	22	
381	2020/10/15 19:55:34	22	22.0102	22	
382	2020/10/15 19:55:35	22	22.0108	22	
383	2020/10/15 19:55:36	22	22.0118	22	
384	2020/10/15 19:55:37	22	22.012	22	
385	2020/10/15 19:55:38	22	22.013	22	
386	2020/10/15 19:55:40	22	22.013	22	
387	2020/10/15 19:55:40	22	22.0131	22	
388	2020/10/15 19:55:41	22	22.0137	22	
389	2020/10/15 19:55:42	22	22.015	22	
390	2020/10/15 19:55:43	22	22.0154	22	
391	2020/10/15 19:55:44	22	22.0166	22	
392	2020/10/15 19:55:45	22	22.0166	22	
393	2020/10/15 19:55:46	22	22.0178	22	
394	2020/10/15 19:55:47	22	22.0182	22	
395	2020/10/15 19:55:48	22	22.0175	22	
396	2020/10/15 19:55:49	22	22.0176	22	
397	2020/10/15 19:55:50	22	22.0182	22	
398	2020/10/15 19:55:51	22	22.0182	22	
399	2020/10/15 19:55:52	22	22.0187	22	
400	2020/10/15 19:55:53	22	22.0183	22	
401	2020/10/15 19:55:54	22	22.017	22	
402	2020/10/15 19:55:55	22	22.016	22	
403	2020/10/15 19:55:56	22	22.0151	22	
404	2020/10/15 19:55:57	22	22.0142	22	
405	2020/10/15 19:55:58	22	22.0137	22	
406	2020/10/15 19:55:59	22	22.0132	22	
407	2020/10/15 19:56:01	22	22.0119	22	
408	2020/10/15 19:56:02	22	22.0103	22	
409	2020/10/15 19:56:03	22	22.0104	22	
410	2020/10/15 19:56:04	22	22.009	22	
411	2020/10/15 19:56:05	22	22.008	22	
412	2020/10/15 19:56:06	22	22.0076	22	
413	2020/10/15 19:56:07	22	22.0081	22	
414	2020/10/15 19:56:08	22	22.0096	22	
415	2020/10/15 19:56:09	22	22.0099	22	
416	2020/10/15 19:56:10	22	22.0107	22	
417	2020/10/15 19:56:11	22	22.0113	22	
418	2020/10/15 19:56:12	22	22.0113	22	
419	2020/10/15 19:56:13	22	22.0114	22	
420	2020/10/15 19:56:14	22	22.0132	22	
421	2020/10/15 19:56:15	22	22.0141	22	
422	2020/10/15 19:56:16	22	22.0137	22	
423	2020/10/15 19:56:17	22	22.0136	22	
424	2020/10/15 19:56:18	22	22.0144	22	
425	2020/10/15 19:56:19	22	22.0136	22	
426	2020/10/15 19:56:20	22	22.0108	22	
427	2020/10/15 19:56:21	22	22.011	22	
428	2020/10/15 19:56:22	22	22.0096	22	
429	2020/10/15 19:56:23	22	22.0101	22	
430	2020/10/15 19:56:24	22	22.0095	22	
431	2020/10/15 19:56:25	22	22.0092	22	
432	2020/10/15 19:56:26	22	22.0095	22	
433	2020/10/15 19:56:27	22	22.01	22	
434	2020/10/15 19:56:28	22	22.0101	22	
435	2020/10/15 19:56:29	22	22.0103	22	
436	2020/10/15 19:56:30	22	22.0109	22	
437	2020/10/15 19:56:31	22	22.0109	22	
438	2020/10/15 19:56:32	22	22.0107	22	
439	2020/10/15 19:56:33	22	22.0107	22	
440	2020/10/15 19:56:34	22	22.0099	22	
441	2020/10/15 19:56:35	22	22.0095	22	
442	2020/10/15 19:56:36	22	22.0095	22	
443	2020/10/15 19:56:37	22	22.0089	22	
444	2020/10/15 19:56:38	22	22.0084	22	
445	2020/10/15 19:56:39	22	22.0065	22	
446	2020/10/15 19:56:40	22	22.0064	22	
447	2020/10/15 19:56:41	22	22.0075	22	
448	2020/10/15 19:56:42	22	22.0072	22	
449	2020/10/15 19:56:43	22	22.0079	22	
450	2020/10/15 19:56:44	22	22.0082	22	
451	2020/10/15 19:56:45	22	22.0083	22	
452	2020/10/15 19:56:46	22	22.0086	22	
453	2020/10/15 19:56:47	22	22.0074	22	
454	2020/10/15 19:56:48	22	22.0084	22	
455	2020/10/15 19:56:49	22	22.0086	22	
456	2020/10/15 19:56:50	22	22.01	22	
457	2020/10/15 19:56:51	22	22.0109	22	
458	2020/10/15 19:56:52	22	22.0112	22	
459	2020/10/15 19:56:53	22	22.0111	22	
460	2020/10/15 19:56:54	22	22.0109	22	
461	2020/10/15 19:56:55	22	22.0113	22	
462	2020/10/15 19:56:56	22	22.0113	22	
463	2020/10/15 19:56:57	22	22.0115	22	
464	2020/10/15 19:56:58	22	22.0121	22	
465	2020/10/15 19:56:59	22	22.0122	22	
466	2020/10/15 19:57:00	22	22.0131	22	
467	2020/10/15 19:57:01	22	22.0131	22	
468	2020/10/15 19:57:02	22	22.0122	22	
469	2020/10/15 19:57:03	22	22.0119	22	
470	2020/10/15 19:57:04	22	22.0114	22	
471	2020/10/15 19:57:05	22	22.0097	22	
472	2020/10/15 19:57:06	22	22.009	22	
473	2020/10/15 19:57:07	22	22.0084	22	
474	2020/10/15 19:57:08	22	22.0081	22	
475	2020/10/15 19:57:09	22	22.008	22	
476	2020/10/15 19:57:10	22	22.0066	22	
477	2020/10/15 19:57:11	22	22.0014	22	
478	2020/10/15 19:57:12	22	22.0004	22	
479	2020/10/15 19:57:13	22	21.9998	22	
480	2020/10/15 19:57:14	22	21.9995	22	
481	2020/10/15 19:57:15	22	21.9995	22	
482	2020/10/15 19:57:16	22	21.9998	22	
483	2020/10/15 19:57:17	22	22.0008	22	
484	2020/10/15 19:57:18	22	22.0018	22	
