663	2021/1/12 10:04:33	25	24.9908	25
664	2021/1/12 10:04:34	25	24.9906	25	
665	2021/1/12 10:04:35	25	24.9904	25	
666	2021/1/12 10:04:36	25	24.9904	25	
667	2021/1/12 10:04:37	25	24.9904	25	
668	2021/1/12 10:04:38	25	24.9896	25	
669	2021/1/12 10:04:39	25	24.9888	25	
670	2021/1/12 10:04:40	25	24.9885	25	
671	2021/1/12 10:04:41	25	24.9875	25	
672	2021/1/12 10:04:42	25	24.987	25	
673	2021/1/12 10:04:43	25	24.9864	25	
674	2021/1/12 10:04:44	25	24.9861	25	
675	2021/1/12 10:04:45	25	24.9849	25	
676	2021/1/12 10:04:46	25	24.9844	25	
677	2021/1/12 10:04:47	25	24.9838	25	
678	2021/1/12 10:04:48	25	24.9837	25	
679	2021/1/12 10:04:49	25	24.9837	25	
680	2021/1/12 10:04:50	25	24.9837	25	
681	2021/1/12 10:04:51	25	24.9839	25	
682	2021/1/12 10:04:52	25	24.9844	25	
683	2021/1/12 10:04:53	25	24.9842	25	
684	2021/1/12 10:04:54	25	24.9857	25	
685	2021/1/12 10:04:55	25	24.9861	25	
686	2021/1/12 10:04:56	25	24.9866	25	
687	2021/1/12 10:04:57	25	24.9872	25	
688	2021/1/12 10:04:58	25	24.9883	25	
689	2021/1/12 10:04:59	25	24.9887	25	
690	2021/1/12 10:05:00	25	24.9892	25	
691	2021/1/12 10:05:02	25	24.9894	25	
692	2021/1/12 10:05:03	25	24.9894	25	
693	2021/1/12 10:05:04	25	24.9897	25	
694	2021/1/12 10:05:05	25	24.9894	25	
695	2021/1/12 10:05:06	25	24.9888	25	
696	2021/1/12 10:05:07	25	24.9884	25	
697	2021/1/12 10:05:08	25	24.9887	25	
698	2021/1/12 10:05:09	25	24.989	25	
699	2021/1/12 10:05:10	25	24.9889	25	
700	2021/1/12 10:05:11	25	24.9887	25	
701	2021/1/12 10:05:12	25	24.9884	25	
702	2021/1/12 10:05:13	25	24.988	25	
703	2021/1/12 10:05:14	25	24.9872	25	
704	2021/1/12 10:05:15	25	24.9867	25	
705	2021/1/12 10:05:16	25	24.9863	25	
706	2021/1/12 10:05:17	25	24.9858	25	
707	2021/1/12 10:05:18	25	24.9858	25	
708	2021/1/12 10:05:19	25	24.986	25	
709	2021/1/12 10:05:20	25	24.9863	25	
710	2021/1/12 10:05:21	25	24.9878	25	
711	2021/1/12 10:05:22	25	24.9882	25	
712	2021/1/12 10:05:23	25	24.9879	25	
713	2021/1/12 10:05:24	25	24.9876	25	
714	2021/1/12 10:05:25	25	24.9863	25	
715	2021/1/12 10:05:26	25	24.986	25	
716	2021/1/12 10:05:27	25	24.9853	25	
717	2021/1/12 10:05:28	25	24.9841	25	
718	2021/1/12 10:05:29	25	24.9847	25	
719	2021/1/12 10:05:30	25	24.9852	25	
720	2021/1/12 10:05:31	25	24.9855	25	
721	2021/1/12 10:05:32	25	24.987	25	
722	2021/1/12 10:05:33	25	24.9876	25	
723	2021/1/12 10:05:34	25	24.9877	25	
724	2021/1/12 10:05:35	25	24.9879	25	
725	2021/1/12 10:05:36	25	24.9882	25	
726	2021/1/12 10:05:37	25	24.9881	25	
727	2021/1/12 10:05:38	25	24.9885	25	
728	2021/1/12 10:05:39	25	24.9889	25	
729	2021/1/12 10:05:40	25	24.9892	25	
730	2021/1/12 10:05:41	25	24.9895	25	
731	2021/1/12 10:05:42	25	24.9895	25	
732	2021/1/12 10:05:43	25	24.9905	25	
733	2021/1/12 10:05:44	25	24.991	25	
734	2021/1/12 10:05:45	25	24.9908	25	
735	2021/1/12 10:05:46	25	24.9898	25	
736	2021/1/12 10:05:47	25	24.9885	25	
737	2021/1/12 10:05:48	25	24.988	25	
738	2021/1/12 10:05:49	25	24.9873	25	
739	2021/1/12 10:05:50	25	24.9875	25	
740	2021/1/12 10:05:51	25	24.9884	25	
741	2021/1/12 10:05:52	25	24.9882	25	
742	2021/1/12 10:05:53	25	24.9884	25	
743	2021/1/12 10:05:54	25	24.9881	25	
