61	2020/10/8 17:27:23	25	25.01	25
62	2020/10/8 17:27:24	25	25	25	
63	2020/10/8 17:27:25	25	25	25	
64	2020/10/8 17:27:26	25	24.98	25	
65	2020/10/8 17:27:27	25	24.98	25	
66	2020/10/8 17:27:28	25	24.97	25	
67	2020/10/8 17:27:29	25	24.95	25	
68	2020/10/8 17:27:30	25	24.95	25	
69	2020/10/8 17:27:31	25	24.96	25	
70	2020/10/8 17:27:32	25	24.96	25	
71	2020/10/8 17:27:33	25	24.95	25	
72	2020/10/8 17:27:34	25	24.95	25	
73	2020/10/8 17:27:35	25	24.92	25	
74	2020/10/8 17:27:36	25	24.9	25	
75	2020/10/8 17:27:37	25	24.89	25	
76	2020/10/8 17:27:38	25	24.88	25	
77	2020/10/8 17:27:40	25	24.86	25	
78	2020/10/8 17:27:41	25	24.86	25	
79	2020/10/8 17:27:42	25	24.83	25	
80	2020/10/8 17:27:43	25	24.83	25	
81	2020/10/8 17:27:44	25	24.83	25	
82	2020/10/8 17:27:45	25	24.84	25	
83	2020/10/8 17:27:46	25	24.86	25	
84	2020/10/8 17:27:47	25	24.88	25	
85	2020/10/8 17:27:48	25	24.9	25	
86	2020/10/8 17:27:49	25	24.91	25	
87	2020/10/8 17:27:50	25	24.91	25	
88	2020/10/8 17:27:51	25	24.9	25	
89	2020/10/8 17:27:52	25	24.89	25	
90	2020/10/8 17:27:53	25	24.92	25	
91	2020/10/8 17:27:54	25	24.93	25	
92	2020/10/8 17:27:55	25	24.94	25	
93	2020/10/8 17:27:56	25	24.95	25	
94	2020/10/8 17:27:57	25	24.95	25	
95	2020/10/8 17:27:58	25	24.96	25	
96	2020/10/8 17:27:59	25	24.97	25	
97	2020/10/8 17:28:00	25	24.93	25	
98	2020/10/8 17:28:01	25	24.92	25	
99	2020/10/8 17:28:02	25	24.97	25	
100	2020/10/8 17:28:03	25	24.98	25	
101	2020/10/8 17:28:04	25	24.96	25	
102	2020/10/8 17:28:05	25	24.96	25	
103	2020/10/8 17:28:06	25	24.94	25	
104	2020/10/8 17:28:07	25	24.97	25	
105	2020/10/8 17:28:08	25	25	25	
106	2020/10/8 17:28:09	25	25.03	25	
107	2020/10/8 17:28:10	25	25.09	25	
108	2020/10/8 17:28:11	25	25.1	25	
109	2020/10/8 17:28:12	25	25.13	25	
110	2020/10/8 17:28:13	25	25.16	25	
111	2020/10/8 17:28:14	25	25.17	25	
112	2020/10/8 17:28:15	25	25.19	25	
113	2020/10/8 17:28:16	25	25.19	25	
114	2020/10/8 17:28:17	25	25.23	25	
115	2020/10/8 17:28:18	25	25.22	25	
116	2020/10/8 17:28:19	25	25.21	25	
117	2020/10/8 17:28:20	25	25.2	25	
118	2020/10/8 17:28:21	25	25.19	25	
119	2020/10/8 17:28:22	25	25.18	25	
120	2020/10/8 17:28:23	25	25.19	25	
121	2020/10/8 17:28:24	25	25.17	25	
122	2020/10/8 17:28:25	25	25.15	25	
123	2020/10/8 17:28:26	25	25.15	25	
124	2020/10/8 17:28:27	25	25.13	25	
125	2020/10/8 17:28:28	25	25.12	25	
126	2020/10/8 17:28:29	25	25.11	25	
127	2020/10/8 17:28:30	25	25.1	25	
128	2020/10/8 17:28:31	25	25.1	25	
129	2020/10/8 17:28:32	25	25.08	25	
130	2020/10/8 17:28:33	25	25.07	25	
131	2020/10/8 17:28:34	25	25.07	25	
132	2020/10/8 17:28:35	25	25.07	25	
133	2020/10/8 17:28:36	25	25.07	25	
134	2020/10/8 17:28:37	25	25.07	25	
135	2020/10/8 17:28:38	25	25.07	25	
136	2020/10/8 17:28:39	25	25.06	25	
137	2020/10/8 17:28:40	25	25.05	25	
138	2020/10/8 17:28:41	25	25.05	25	
139	2020/10/8 17:28:42	25	25.02	25	
140	2020/10/8 17:28:43	25	25.01	25	
141	2020/10/8 17:28:44	25	25.01	25	
142	2020/10/8 17:28:45	25	25	25	
143	2020/10/8 17:28:46	25	24.98	25	
144	2020/10/8 17:28:47	25	24.96	25	
145	2020/10/8 17:28:48	25	24.95	25	
146	2020/10/8 17:28:49	25	24.93	25	
147	2020/10/8 17:28:50	25	24.92	25	
148	2020/10/8 17:28:51	25	24.92	25	
149	2020/10/8 17:28:52	25	24.91	25	
150	2020/10/8 17:28:53	25	24.89	25	
151	2020/10/8 17:28:54	25	24.87	25	
152	2020/10/8 17:28:55	25	24.87	25	
153	2020/10/8 17:28:56	25	24.85	25	
154	2020/10/8 17:28:57	25	24.84	25	
155	2020/10/8 17:28:58	25	24.85	25	
156	2020/10/8 17:28:59	25	24.86	25	
157	2020/10/8 17:29:00	25	24.87	25	
158	2020/10/8 17:29:01	25	24.86	25	
159	2020/10/8 17:29:02	25	24.85	25	
160	2020/10/8 17:29:03	25	24.85	25	
161	2020/10/8 17:29:04	25	24.86	25	
162	2020/10/8 17:29:05	25	24.9	25	
163	2020/10/8 17:29:06	25	24.91	25	
164	2020/10/8 17:29:07	25	24.9	25	
165	2020/10/8 17:29:08	25	24.9	25	
166	2020/10/8 17:29:09	25	24.9	25	
167	2020/10/8 17:29:10	25	24.9	25	
168	2020/10/8 17:29:11	25	24.92	25	
169	2020/10/8 17:29:12	25	24.94	25	
170	2020/10/8 17:29:13	25	24.95	25	
171	2020/10/8 17:29:14	25	24.94	25	
172	2020/10/8 17:29:15	25	24.92	25	
173	2020/10/8 17:29:16	25	24.92	25	
174	2020/10/8 17:29:17	25	24.96	25	
175	2020/10/8 17:29:18	25	24.97	25	
176	2020/10/8 17:29:19	25	24.97	25	
177	2020/10/8 17:29:20	25	24.95	25	
178	2020/10/8 17:29:21	25	24.95	25	
179	2020/10/8 17:29:22	25	24.94	25	
180	2020/10/8 17:29:23	25	24.93	25	
181	2020/10/8 17:29:24	25	24.91	25	
182	2020/10/8 17:29:25	25	24.92	25	
183	2020/10/8 17:29:27	25	24.92	25	
184	2020/10/8 17:29:28	25	24.93	25	
185	2020/10/8 17:29:29	25	24.93	25	
186	2020/10/8 17:29:30	25	24.94	25	
187	2020/10/8 17:29:31	25	24.98	25	
188	2020/10/8 17:29:32	25	25	25	
189	2020/10/8 17:29:33	25	25.06	25	
190	2020/10/8 17:29:34	25	25.08	25	
191	2020/10/8 17:29:35	25	25.09	25	
192	2020/10/8 17:29:36	25	25.1	25	
193	2020/10/8 17:29:37	25	25.12	25	
194	2020/10/8 17:29:38	25	25.12	25	
195	2020/10/8 17:29:39	25	25.1	25	
196	2020/10/8 17:29:40	25	25.1	25	
197	2020/10/8 17:29:41	25	25.11	25	
198	2020/10/8 17:29:42	25	25.11	25	
199	2020/10/8 17:29:43	25	25.1	25	
200	2020/10/8 17:29:44	25	25.1	25	
201	2020/10/8 17:29:45	25	25.13	25	
202	2020/10/8 17:29:46	25	25.12	25	
203	2020/10/8 17:29:47	25	25.11	25	
204	2020/10/8 17:29:48	25	25.11	25	
205	2020/10/8 17:29:49	25	25.13	25	
206	2020/10/8 17:29:50	25	25.15	25	
207	2020/10/8 17:29:51	25	25.13	25	
208	2020/10/8 17:29:52	25	25.12	25	
209	2020/10/8 17:29:53	25	25.1	25	
210	2020/10/8 17:29:54	25	25.09	25	
211	2020/10/8 17:29:55	25	25.1	25	
212	2020/10/8 17:29:56	25	25.09	25	
213	2020/10/8 17:29:57	25	25.08	25	
214	2020/10/8 17:29:58	25	25.04	25	
215	2020/10/8 17:29:59	25	25.03	25	
216	2020/10/8 17:30:00	25	25.04	25	
217	2020/10/8 17:30:01	25	25.04	25	
218	2020/10/8 17:30:02	25	25.03	25	
219	2020/10/8 17:30:03	25	25.03	25	
220	2020/10/8 17:30:04	25	25.03	25	
221	2020/10/8 17:30:05	25	25.04	25	
222	2020/10/8 17:30:06	25	25.03	25	
223	2020/10/8 17:30:07	25	25.05	25	
224	2020/10/8 17:30:08	25	25.04	25	
225	2020/10/8 17:30:09	25	25.03	25	
226	2020/10/8 17:30:10	25	25.02	25	
227	2020/10/8 17:30:11	25	25	25	
228	2020/10/8 17:30:12	25	24.99	25	
229	2020/10/8 17:30:13	25	24.99	25	
230	2020/10/8 17:30:14	25	24.98	25	
231	2020/10/8 17:30:15	25	24.96	25	
