197	2020/10/8 21:20:17	25	24.99	25
198	2020/10/8 21:20:18	25	24.99	25	
199	2020/10/8 21:20:19	25	24.99	25	
200	2020/10/8 21:20:20	25	24.99	25	
201	2020/10/8 21:20:21	25	25	25	
202	2020/10/8 21:20:22	25	25	25	
203	2020/10/8 21:20:23	25	25	25	
204	2020/10/8 21:20:24	25	24.99	25	
205	2020/10/8 21:20:25	25	25	25	
206	2020/10/8 21:20:26	25	25	25	
207	2020/10/8 21:20:27	25	25	25	
208	2020/10/8 21:20:28	25	25	25	
209	2020/10/8 21:20:29	25	25.01	25	
210	2020/10/8 21:20:30	25	25.01	25	
211	2020/10/8 21:20:31	25	25.01	25	
212	2020/10/8 21:20:32	25	25.01	25	
213	2020/10/8 21:20:33	25	25.01	25	
214	2020/10/8 21:20:34	25	25	25	
215	2020/10/8 21:20:35	25	25	25	
216	2020/10/8 21:20:36	25	25	25	
217	2020/10/8 21:20:37	25	25.01	25	
218	2020/10/8 21:20:38	25	25.01	25	
219	2020/10/8 21:20:39	25	25.01	25	
220	2020/10/8 21:20:40	25	25.01	25	
221	2020/10/8 21:20:41	25	25.01	25	
222	2020/10/8 21:20:42	25	25	25	
223	2020/10/8 21:20:43	25	25	25	
224	2020/10/8 21:20:44	25	24.99	25	
225	2020/10/8 21:20:45	25	24.99	25	
226	2020/10/8 21:20:46	25	24.98	25	
227	2020/10/8 21:20:47	25	24.98	25	
228	2020/10/8 21:20:48	25	24.98	25	
229	2020/10/8 21:20:49	25	24.99	25	
230	2020/10/8 21:20:50	25	24.99	25	
231	2020/10/8 21:20:51	25	24.99	25	
232	2020/10/8 21:20:52	25	24.99	25	
233	2020/10/8 21:20:53	25	25	25	
234	2020/10/8 21:20:54	25	25.01	25	
235	2020/10/8 21:20:55	25	25	25	
236	2020/10/8 21:20:56	25	25	25	
237	2020/10/8 21:20:57	25	25	25	
238	2020/10/8 21:20:58	25	25.01	25	
239	2020/10/8 21:20:59	25	25	25	
240	2020/10/8 21:21:00	25	25	25	
241	2020/10/8 21:21:01	25	25	25	
242	2020/10/8 21:21:02	25	25	25	
243	2020/10/8 21:21:03	25	25	25	
244	2020/10/8 21:21:04	25	25	25	
245	2020/10/8 21:21:05	25	24.99	25	
246	2020/10/8 21:21:06	25	24.99	25	
247	2020/10/8 21:21:07	25	25	25	
248	2020/10/8 21:21:08	25	25	25	
249	2020/10/8 21:21:09	25	24.99	25	
250	2020/10/8 21:21:10	25	24.99	25	
251	2020/10/8 21:21:11	25	24.99	25	
252	2020/10/8 21:21:12	25	24.99	25	
253	2020/10/8 21:21:13	25	24.99	25	
254	2020/10/8 21:21:14	25	24.99	25	
255	2020/10/8 21:21:15	25	24.99	25	
256	2020/10/8 21:21:16	25	24.99	25	
257	2020/10/8 21:21:17	25	24.98	25	
258	2020/10/8 21:21:18	25	24.98	25	
259	2020/10/8 21:21:19	25	24.98	25	
260	2020/10/8 21:21:20	25	24.98	25	
261	2020/10/8 21:21:21	25	24.98	25	
262	2020/10/8 21:21:22	25	24.98	25	
263	2020/10/8 21:21:23	25	24.98	25	
264	2020/10/8 21:21:24	25	24.98	25	
265	2020/10/8 21:21:25	25	24.99	25	
266	2020/10/8 21:21:26	25	24.99	25	
267	2020/10/8 21:21:27	25	24.99	25	
268	2020/10/8 21:21:28	25	24.99	25	
269	2020/10/8 21:21:29	25	24.99	25	
270	2020/10/8 21:21:30	25	24.98	25	
271	2020/10/8 21:21:31	25	24.98	25	
272	2020/10/8 21:21:32	25	24.98	25	
273	2020/10/8 21:21:33	25	25	25	
274	2020/10/8 21:21:34	25	25	25	
275	2020/10/8 21:21:35	25	25.01	25	
276	2020/10/8 21:21:36	25	25.01	25	
277	2020/10/8 21:21:37	25	25.02	25	
278	2020/10/8 21:21:38	25	25.02	25	
279	2020/10/8 21:21:39	25	25.02	25	
280	2020/10/8 21:21:40	25	25.03	25	
281	2020/10/8 21:21:41	25	25.03	25	
282	2020/10/8 21:21:42	25	25.04	25	
283	2020/10/8 21:21:43	25	25.04	25	
284	2020/10/8 21:21:44	25	25.04	25	
285	2020/10/8 21:21:45	25	25.05	25	
286	2020/10/8 21:21:46	25	25.05	25	
287	2020/10/8 21:21:47	25	25.05	25	
288	2020/10/8 21:21:48	25	25.05	25	
289	2020/10/8 21:21:49	25	25.05	25	
290	2020/10/8 21:21:50	25	25.06	25	
291	2020/10/8 21:21:51	25	25.05	25	
292	2020/10/8 21:21:52	25	25.05	25	
293	2020/10/8 21:21:53	25	25.05	25	
294	2020/10/8 21:21:54	25	25.05	25	
295	2020/10/8 21:21:55	25	25.05	25	
296	2020/10/8 21:21:56	25	25.04	25	
297	2020/10/8 21:21:57	25	25.03	25	
298	2020/10/8 21:21:58	25	25.02	25	
299	2020/10/8 21:21:59	25	25.02	25	
300	2020/10/8 21:22:00	25	25.02	25	
301	2020/10/8 21:22:01	25	25.02	25	
302	2020/10/8 21:22:02	25	25.01	25	
303	2020/10/8 21:22:03	25	25.01	25	
304	2020/10/8 21:22:05	25	25	25	
305	2020/10/8 21:22:06	25	25	25	
306	2020/10/8 21:22:07	25	24.99	25	
307	2020/10/8 21:22:08	25	24.99	25	
308	2020/10/8 21:22:09	25	24.99	25	
309	2020/10/8 21:22:10	25	25	25	
310	2020/10/8 21:22:11	25	25	25	
311	2020/10/8 21:22:12	25	25	25	
312	2020/10/8 21:22:13	25	25	25	
313	2020/10/8 21:22:14	25	25	25	
314	2020/10/8 21:22:15	25	25	25	
315	2020/10/8 21:22:16	25	25	25	
316	2020/10/8 21:22:17	25	24.99	25	
317	2020/10/8 21:22:18	25	24.99	25	
318	2020/10/8 21:22:19	25	24.99	25	
319	2020/10/8 21:22:20	25	24.99	25	
320	2020/10/8 21:22:21	25	25	25	
321	2020/10/8 21:22:22	25	25	25	
322	2020/10/8 21:22:23	25	25.01	25	
323	2020/10/8 21:22:24	25	25.01	25	
324	2020/10/8 21:22:25	25	25.01	25	
325	2020/10/8 21:22:26	25	25	25	
